agency_cd	site_no	datetime	9996_00060_00003	9996_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11335000	2012-01-01	54.3	A
USGS	11335000	2012-01-02	53.1	A
USGS	11335000	2012-01-03	52.1	A
USGS	11335000	2012-01-04	51.7	A
USGS	11335000	2012-01-05	51.2	A
USGS	11335000	2012-01-06	50.4	A
USGS	11335000	2012-01-07	49.9	A
USGS	11335000	2012-01-08	49.5	A
USGS	11335000	2012-01-09	49.4	A
USGS	11335000	2012-01-10	48.8	A
USGS	11335000	2012-01-11	49.0	A
USGS	11335000	2012-01-12	48.6	A
USGS	11335000	2012-01-13	48.2	A
USGS	11335000	2012-01-14	48.9	A
USGS	11335000	2012-01-15	47.6	A
USGS	11335000	2012-01-16	46.9	A
USGS	11335000	2012-01-17	46.0	A
USGS	11335000	2012-01-18	45.6	A
USGS	11335000	2012-01-19	42.7	A
USGS	11335000	2012-01-20	60.0	A
USGS	11335000	2012-01-21	485	A
USGS	11335000	2012-01-22	550	A
USGS	11335000	2012-01-23	409	A
USGS	11335000	2012-01-24	557	A
USGS	11335000	2012-01-25	269	A
USGS	11335000	2012-01-26	187	A
USGS	11335000	2012-01-27	161	A
USGS	11335000	2012-01-28	150	A
USGS	11335000	2012-01-29	132	A
USGS	11335000	2012-01-30	121	A
USGS	11335000	2012-01-31	113	A
USGS	11335000	2012-02-01	109	A
USGS	11335000	2012-02-02	106	A
USGS	11335000	2012-02-03	103	A
USGS	11335000	2012-02-04	97.3	A
USGS	11335000	2012-02-05	93.2	A
USGS	11335000	2012-02-06	90.5	A
USGS	11335000	2012-02-07	89.0	A
USGS	11335000	2012-02-08	88.4	A
USGS	11335000	2012-02-09	88.2	A
USGS	11335000	2012-02-10	85.3	A
USGS	11335000	2012-02-11	83.4	A
USGS	11335000	2012-02-12	84.0	A
USGS	11335000	2012-02-13	107	A
USGS	11335000	2012-02-14	152	A
USGS	11335000	2012-02-15	128	A
USGS	11335000	2012-02-16	119	A
USGS	11335000	2012-02-17	108	A
USGS	11335000	2012-02-18	101	A
USGS	11335000	2012-02-19	97.1	A
USGS	11335000	2012-02-20	96.5	A
USGS	11335000	2012-02-21	93.6	A
USGS	11335000	2012-02-22	91.1	A
USGS	11335000	2012-02-23	90.1	A
USGS	11335000	2012-02-24	91.0	A
USGS	11335000	2012-02-25	90.6	A
USGS	11335000	2012-02-26	90.1	A
USGS	11335000	2012-02-27	88.4	A
USGS	11335000	2012-02-28	89.3	A
USGS	11335000	2012-02-29	105	A
USGS	11335000	2012-03-01	162	A
USGS	11335000	2012-03-02	204	A
USGS	11335000	2012-03-03	166	A
USGS	11335000	2012-03-04	143	A
USGS	11335000	2012-03-05	134	A
USGS	11335000	2012-03-06	132	A
USGS	11335000	2012-03-07	142	A
USGS	11335000	2012-03-08	131	A
USGS	11335000	2012-03-09	125	A
USGS	11335000	2012-03-10	122	A
USGS	11335000	2012-03-11	127	A
USGS	11335000	2012-03-12	128	A
USGS	11335000	2012-03-13	133	A
USGS	11335000	2012-03-14	497	A
USGS	11335000	2012-03-15	1280	A
USGS	11335000	2012-03-16	1590	A
USGS	11335000	2012-03-17	4940	A
USGS	11335000	2012-03-18	2570	A
